Rank,Brand,Title,Price
1,언더오프,롤업 슬리브 크롭 반팔 티셔츠 블랙,"19,530원"
2,메종 마르지엘라,타비 발레리나 플랫 슈즈 - 블랙 / S58WZ0109PR869T8013.,"1,480,000원"
3,리스키,비 볼드 립 글로스 (16 Colors),"19,800원"
4,닉켈하우스,닉켈 26 동키 후드집업,"99,500원"
5,나이키,보메로 18 M - 스프루스 아우라:제이드 호라이즌:라이트 실버:블랙 스프루스 / HM6803-020,"132,300원"
6,아디다스,와플 클래식 트랙탑 - 블랙 / KQ6863,"108,990원"
7,로제프란츠,Patchwork Bootcut Sweatpants [Charcoal],"54,600원"
8,무신사 스탠다드,커브드 데님 팬츠 (8 colors),"44,890원"
9,브이디엘,VDL 톤스테인 컬러코렉팅 프라이머(택1),"19,500원"
10,프레시안,프레시안 에그라이크 크림 블러쉬,"17,480원"
11,아디다스,파이어버드 클래식 숏 팬츠 - 블랙:화이트 / KD5569,"34,720원"
12,놈브레,시그니처 자수 피그먼트 헨리넥 슬리브리스 [피그먼트 차콜],"12,330원"
13,폴로 랄프 로렌,트윌 재킷-네이비,"436,050원"
14,무신사 스탠다드,솔리드 CP 커브드 치노 팬츠 (7 colors),"44,890원"
15,오드타입,언씬 벌룬 틴트 + 허그 프렌즈 캡 기획세트,"39,900원"
16,언더오프,롤업 슬리브 크롭 반팔 티셔츠 버건디,"19,530원"
17,무신사 스탠다드 우먼,우먼즈 코튼 커브드 팬츠 (5 colors),"44,910원"
18,언타이틀 서울,유니콘 헨리넥 슬럽 롱 슬리브 그레이,"35,200원"
19,챔피온,아치 로고 루즈핏 아플리케 다잉 후드 집업 Charcoal,"129,000원"
20,아디다스,와플 롱 슬리브 폴로 티 - 다크브라운 / KQ6868,"54,990원"
21,하이뮨,프로틴 밸런스 액티브 에센셜 (밀크쉐이크+딥초코) 250ml 12입 1박스,"13,230원"
22,나이키,문 슈 OG W - 바로크 브라운:블랙:캐시미어 / IW0955-201,"139,000원"
23,파타고니아,멘즈 라이트웨이트 신칠라 스냅-티 풀오버 / 25551R7,"239,000원"
24,좋은느낌,오리지널 입는오버나이트 소/중/대 8매x6팩 +(증)입오버4p,"34,900원"
25,아크테릭스,맨티스 16 백팩 - RUNE / ABQSU10636,"209,000원"
26,챔피온,아치 로고 루즈핏 아플리케 다잉 후드 집업 Brown,"129,000원"
27,마시모두띠,포켓 디테일 스웨이드 레더 오버셔츠,"639,000원"
28,휠라,글리오 LX 아이보리(FS263OD03X078100),"119,000원"
29,디미트리블랙,63%,[10주년기획] © 모두의 수소봉제 반팔 티셔츠 (COOLMAX® 원단)_7 COLOR
30,무신사 스탠다드 우먼,[시티 레저] 우먼즈 후디드 라이트 다운 재킷 [블루 그레이],"99,000원"
31,데이,크롭 골지 반팔 헨리넥 티셔츠_5 COLOR,"20,900원"
32,무신사 스탠다드 우먼,우먼즈 에센셜 커브드 데님 팬츠 [러스티 블루],"44,910원"
33,비바라비다,Seastar 링거 반팔 티셔츠,"23,480원"
34,뷰앤디,앤모드 PRO PINK 업그레이드 브이라인 마사지기,"139,000원"
35,블랙야크,공용 클라이밍 스톤마스터 라이트 패딩자켓#3_(4color),"179,000원"
36,스파오,[UV차단] 라이트 패커블 윈드브레이커_SPJJG25C09,"27,880원"
37,아캄,Line Taped Track Pants (Black),"127,200원"
38,언타이틀 서울,언타이틀 크레스트 폴로 크롭 반팔 블랙,"29,900원"
39,리스키,피그먼트 아이섀도우 팔레트 (8 Colors),"32,400원"
40,알리스,[NERDKING x ALYSS] 썸머 슬릭 커브드 코튼 치노 팬츠_3COLOR,"44,400원"
41,크록스,에코 클로그 - 콘크리트 / 207937-0Z3,"56,990원"
42,미즈노,[3PACK] 퍼포먼스 쿨토시 -손목/손등커버형[7color],"10,900원"
43,아디다스,칼라드 골리 - 클리어스카이 / KW5992,"49,900원"
44,일소,[짱구 콜라보] 슈퍼 멜팅 세범 소프트너 150ml+착붙 코튼 패드+ 딥 클린 마스터 +마켓백,"19,920원"
45,스파오,[3-LAYER] 테크니컬 윈드브레이커_SPJJG49C70,"89,900원"
46,레터리,BUCKLE REVERSIBLE SHOULDER BAG_10COLOR,"74,820원"
47,나이키,P-6000 M - 앳머스피어 그레이:펜슬 포인트:배스트 그레이:블랙 / CD6404-031,"100,080원"
48,바이오더마,[1000ml] 센시비오 H2O 500ml 펌프 + 센시비오 H2O 500ml,"32,470원"
49,포트레,섀도우 누보 (12colors),"12,000원"
50,비바라비다,Chaser 링거 반팔 티셔츠,"32,830원"
51,미세키서울 맨,Folded pocket cargo parachute pants BLACK,"99,540원"
52,크록스,클래식 발레 - 콰츠 / 211994-6UR,"58,410원"
53,뉴에라,NFL 라스베이거스 레이더스 팬 웨어 티셔츠 화이트,"62,300원"
