Rank,Brand,Title,Price
1,나이스고스트클럽,JS TOMIE HELLO KITTY SQUARE POUCH_MIX(NG2GMUAB84G),"39,000원"
2,프레시안,프레시안 에그라이크 크림 블러쉬,"16,560원"
3,챔피온,아치 로고 루즈핏 아플리케 다잉 후드 집업 Charcoal,"129,000원"
4,하이뮨,프로틴 밸런스 액티브 딸기 X 딥초코 세트(각 1박스/ 총 36팩) +아미노포텐 체험팩 증정,"40,000원"
5,트릴리온,[기획] 에센셜 CP 이중지 크롭 반팔티_9color,"16,990원"
6,한스킨,PDRN 핑크볼 탱글 광채 세럼 30ml,"21,800원"
7,쿠어,워시드 페이크 레더 블레이저 (워시드블랙),"315,000원"
8,아식스,젤 1130 - 화이트:미드나잇 / 1203A609-120,"129,000원"
9,아크테릭스,스쿼미시 후디 남성 - BLACK / AJQSM10276,"310,000원"
10,데상트,우먼스 러닝 경량 후드형 바람막이 자켓 블랙 SR122RWB32,"189,050원"
11,쿠어,파일럿 레더 카라 점퍼 (다크네이비),"297,000원"
12,나이스고스트클럽,JS TOMIE HELLO KITTY MINI TEE_WHITE(NG2GMFT543G),"59,000원"
13,쿠어,타입 1 러스틱 워시드 트러커 자켓 (워시드블랙),"297,000원"
14,스파오,[나루토] 후드 담요(Black)_SPAWG37U08,"39,900원"
15,데이,크롭 골지 반팔 헨리넥 티셔츠_5 COLOR,"20,900원"
16,나이키,에어 맥스 모토 2K M - 오프 화이트:메탈릭 실버:하이퍼 터콰이즈:블랙 / IR1476-101,"108,120원"
17,키뮤어,[크롭] 스트라이프 레이어드 헨리넥 반팔 티셔츠_차콜,"48,600원"
18,일소,[짱구 콜라보] 슈퍼 멜팅 세범 소프트너 150ml+착붙 코튼 패드+ 딥 클린 마스터 +마켓백,"19,920원"
19,언탭트 스튜디오,워셔블 쿨 코튼 리브드 반팔 카라 니트 5COLOR,"26,380원"
20,모즈모즈,컴포트 썸머 와이드 팬츠 블랙,"21,280원"
21,나스,인세이셔블 리퀴드 블러쉬,"43,350원"
22,나이키,P-6000 M - 앳머스피어 그레이:펜슬 포인트:배스트 그레이:블랙 / CD6404-031,"100,080원"
23,스나이델뷰티,아이 디자이너,"67,900원"
24,뉴발란스,NBPDGF712W / U5098Y0 (WHITE),"159,000원"
25,아디다스,도쿄 - 블랙 / IH3990,"102,100원"
26,유니온블루,SEMI CROP CHECK SHIRT [SLATE],"73,800원"
27,미스테이크 프로젝트,CASH LOAFER - BLACK,"98,690원"
28,무신사 스탠다드 우먼,우먼즈 코튼 커브드 팬츠 (5 colors),"44,910원"
29,나스,블러쉬,"43,350원"
30,알리스,[NERDKING x ALYSS] 썸머 슬릭 커브드 코튼 치노 팬츠_3COLOR,"44,400원"
31,메디힐,[총 30매] 에센셜 마스크 팩 7종 30매 (7종 택 3/교차 가능),"28,700원"
32,에이지오디,스냅 버튼 커브드 팬츠 [베이지],"29,400원"
33,무신사 스탠다드,솔리드 CP 커브드 치노 팬츠 (7 colors),"44,890원"
34,키뮤어,[크롭] 배색 롤업 크롭 반팔 티셔츠_블랙,"39,600원"
